id;url;name;language;created_at;owner_id;description;forked_from_id
11676;https://api.github.com/repos/repos-c-cpp/openFrameworks;openFrameworks;C;21/9/2011 20:08;795;OpenFrameworks is a cross platform open source toolkit for creative coding in C++.;9215
11858;https://api.github.com/repos/corefan/openFrameworks;openFrameworks;C;16/4/2012 14:03;976;OpenFrameworks is a cross platform open source toolkit for creative coding in C++.;9215
12172;https://api.github.com/repos/JT5D/openFrameworks;openFrameworks;C;9/1/2013 15:22;706;OpenFrameworks is a cross platform open source toolkit for creative coding in C++.;9215
12662;https://api.github.com/repos/acros/SparkleShare;SparkleShare;C#;18/7/2016 21:30;192;SparkleShare is an Open Source collaboration and sharing tool that is designed to keep things simple and to stay out of your way. http://www.sparkleshare.org/;
12679;https://api.github.com/repos/roadlabs/SparkleShare;SparkleShare;C#;3/5/2012 3:47;144;SparkleShare is an Open Source collaboration and sharing tool that is designed to keep things simple and to stay out of your way. http://www.sparkleshare.org/;12554
15225;https://api.github.com/repos/frankgeerlings/Nancy;Nancy;C#;6/3/2012 12:01;786;A Sinatra inspired web framework for the .NET platform. Be sure to checkout the Wiki for information on how to contribute!;14327
18440;https://api.github.com/repos/WilliamRen/ActionBarSherlock;ActionBarSherlock;Java;17/7/2016 20:13;156;Android library for implementing the action bar design pattern using the native ActionBar on 3.0+ and a custom implementation on pre-3.0 through a single API and theme.;
18589;https://api.github.com/repos/vadeara/ActionBarSherlock;ActionBarSherlock;Java;7/3/2012 22:42;181;Android library for implementing the action bar design pattern using the native ActionBar on 3.0+ and a custom implementation on pre-3.0 through a single API and theme.;17566
19580;https://api.github.com/repos/facebook/facebook-android-sdk;facebook-android-sdk;Java;10/5/2010 15:17;8;Facebook SDK for Android;NULL
1446467;https://github.com/pypa/pip;pip;Python;6/3/2011 12:30;647025;The PyPA recommended tool for installing Python packages;
1633641;https://api.github.com/repos/muricoca/crab;crab;Python;18/4/2011 23:08;723881;Crab is a flexible fast recommender engine for Python that integrates classic information  ltering recommendation algorithms in the world of scientic Python packages (numpy scipy matplotlib);
2545950;https://github.com/ocelma/python-recsys;python-recsys;Python;10/10/2011 1:17;388349;A python library for implementing a recommender system;
10331826;https://github.com/gamboviol/bpr;bpr;Python;28/5/2013 6:09;595709;Bayesian Personalized Ranking;
11072123;https://github.com/kirang89/pycrumbs;pycrumbs;Python;30/6/2013 12:01;1074304;Bits and bytes of Python from the Internet;
12976633;https://github.com/Mendeley/mrec;mrec;Python;20/9/2013 12:15;360932;A recommender systems development and evaluation package by Mendeley;
13926404;https://github.com/getredash;redash;Python;28/10/2013 2:16;1074304;Make Your Company Data Driven. Connect to any data source, easily visualize and share your data.;
20558093;https://github.com/xavfernandez/django;django;Python;6/6/2014 6:21;1089744;The Web framework for perfectionists with deadlines;
21934130;https://github.com/jadianes/spark-movie-lens;PyML-Spark+A5;Jupyter Notebook;2/7/2015 4:04;692262;An on-line movie recommender using Spark Python Flask and the MovieLens dataset;
26171605;https://github.com/xavfernandez/django-batchform;django-batchform;-;4/11/2014 12:13;1089744;Generic view to fill a batch of identical forms from the cells of an uploaded file (csv/xlsx/odt);
36804486;https://github.com/tqdm/tqdm;tqdm;Python;3/6/2015 10:13;12731565;;
38416915;https://github.com/jadianes/spark-movie-lens;spark-movie-lens;Jupyter Notebook;2/7/2015 4:04;692262;An on-line movie recommender using Spark Python Flask and the MovieLens dataset;
40229710;https://github.com/MobileFirst-Platform-Developer-Center/Wishlist;MobileFirst-Platform-Developer-Center/Wishlist;JavaScript;5/8/2015 3:53;12657800;-;
41188960;https://github.com/aarzee/3ds_hb_menu;3ds_hb_menu;C;22/8/2015 0:43;3758364;3ds homebrew menu (ninjhax edition);
41415237;https://github.com/johnaohara/hibernate-semantic-query;hibernate-semantic-query;Java;26/8/2015 5:50;959822;-;
43757419;https://github.com/twitter/torch-autograd;torch-autograd;Lua;6/10/2015 11:51;50278;Autograd automatically differentiates native Torch code;
44443629;https://github.com/dlmacedo/AMProjectR;AMProjectR;R;17/10/2015 12:51;15001116;-;
44998824;https://github.com/Yelp/paasta;paasta;Python;26/10/2015 19:35;49071;An open distributed platform as a service;
52489799;https://github.com/DvHuang/Go_Fptree;Go_Fptree;Go;25/2/2016 0:14;12111571;-;
62095504;https://github.com/sdispater/pendulum;pendulum;Python;27/6/2016 20:37;555648;Python datetimes made easy;
