id,created,follower_id_id,user_id_id
28260,2012-04-16 10:13:33,316,510
28261,2012-04-04 06:12:28,352,510
28313,2013-06-13 06:47:35,574,516
28319,2011-08-10 08:32:47,291,529
28320,2012-04-16 10:13:33,316,529
28321,2012-04-04 06:12:28,352,529
28328,2012-04-16 10:13:33,316,531
28331,2012-04-16 10:13:33,316,536
28332,2012-04-04 06:12:28,352,536
28334,2012-04-16 10:13:33,316,537
28335,2012-04-04 06:12:28,352,537
28343,2012-04-16 10:13:33,316,543
28344,2012-04-04 06:12:28,352,543
28356,2012-04-16 10:13:33,316,548
28357,2012-04-04 06:12:28,352,548
28360,2010-08-10 23:10:48,276,555
28361,2010-06-08 02:43:59,651,555
28365,2012-04-04 06:12:28,352,562
28370,2010-01-26 03:30:38,618,566
28371,2010-07-02 17:34:01,794,566
28379,2009-09-01 08:12:00,537,569
28381,2012-04-04 06:12:28,352,570
28383,2012-04-16 10:13:33,316,576
28384,2012-04-04 06:12:28,352,576
28389,2011-10-07 16:28:38,632,583
28392,2012-04-04 06:12:28,352,584
28393,2012-04-04 06:12:28,352,585
28396,2012-04-04 06:12:28,352,593
28397,2012-04-16 10:13:33,316,594
28402,2012-04-16 10:13:33,316,595
28403,2012-04-04 06:12:28,352,595
28407,2012-04-16 10:13:33,316,598
28408,2012-04-04 06:12:28,352,598
28413,2012-04-04 06:12:28,352,603
28418,2012-04-04 06:12:28,352,618
28419,2010-06-27 19:02:04,693,618
28424,2010-09-04 07:47:24,217,625
28425,2012-03-13 05:41:55,934,632
28427,2010-02-04 17:05:54,79,635
28428,2010-07-02 17:34:01,794,635
28435,2011-02-02 08:11:48,503,642
28436,2012-04-16 10:13:33,316,643
28440,2010-06-08 02:43:59,555,651
28445,2012-04-16 10:13:33,316,693
28446,2012-04-04 06:12:28,352,693
28448,2012-04-16 10:13:33,316,694
28451,2009-11-25 10:19:16,167,696
28452,2011-11-25 16:41:27,98,700
28453,2012-04-04 06:12:28,352,703
28457,2012-04-16 10:13:33,316,705
28462,2011-08-07 21:53:55,269,710
28463,2011-08-07 21:53:55,842,710
28470,2012-04-04 06:12:28,352,721
28473,2012-04-16 10:13:33,316,728
28474,2012-04-04 06:12:28,352,728
