id;company;location;type;user_id
766;-;-;USR;766
767;-;-;USR;767
769;-;-;USR;769
771;-;-;USR;771
773;-;-;USR;773
774;-;-;USR;774
775;-;-;USR;775
777;-;Philly;USR;777
778;-;-;USR;778
780;-;-;USR;780
781;-;-;USR;781
782;-;Ireland;USR;782
784;;-;USR;784
786;-;-;USR;786
787;-;-;USR;787
790;-;-;USR;790
791;ninetowns.com;beijing;USR;791
792;-;-;USR;792
793;-;-;USR;793
795;-;-;ORG;795
796;-;-;USR;796
799;-;-;USR;799
800;-;-;USR;800
801;-;-;USR;801
802;-;-;USR;802
803;-;Beijing China;USR;803
804;-;-;USR;804
805;-;-;USR;805
806;-;UK;USR;806
807;-;-;USR;807
808;HIT-SCIR;-;USR;808
809;-;Poland;USR;809
810;-;-;USR;810
811;-;-;USR;811
812;-;-;USR;812
813;-;-;USR;813
815;-;-;USR;815
816;-;Norway;USR;816
817;-;-;USR;817
818;-;-;USR;818
819;-;-;USR;819
821;-;New York;USR;821
822;-;Beijing;USR;822
823;-;-;USR;823
826;-;-;USR;826
827;-;-;USR;827
828;-;-;USR;828
830;;montevideo;USR;830
831;-;-;USR;831
832;-;-;USR;832
834;-;-;USR;834
835;-;-;USR;835
836;BugSense;-;USR;836
838;personal;INDIA;USR;838
839;Engine Yard;-;USR;839
840;-;Ukraine;USR;840
841;Credishop S/A;Brazil;USR;841
842;Duke University;NC;USR;842
843;-;-;USR;843
844;-;-;USR;844
847;-;Russia. Omsk;USR;847
848;-;China;USR;848
849;-;-;USR;849
850;-;-;USR;850
851;-;-;USR;851
852;-;-;USR;852
853;;-;USR;853
855;leptonix;Tiel (Netherlands);USR;855
857;-;-;USR;857
860;-;-;USR;860
861;-;-;USR;861
863;Kizmeta;Kansas City;USR;863
864;-;-;USR;864
865;Amazon;Bangalore;USR;865
867;-;-;USR;867
868;-;-;USR;868
869;-;-;USR;869
870;-;-;USR;870
871;;DC;USR;871
872;-;-;USR;872
873;bitly;NYC;USR;873
874;University of Sheffield;Sheffield;USR;874
875;-;-;USR;875
876;-;-;USR;876
878;-;-;USR;878
879;-;-;USR;879
880;-;-;USR;880
881;-;-;USR;881
883;百度;北京;USR;883
884;M;WanChai;USR;884
886;;-;USR;886
887;-;-;USR;887
891;-;-;USR;891
892;-;-;USR;892
893;-;-;USR;893
894;-;Paris;USR;894
895;-;-;USR;895
897;Crizzo Designs;Hyrule;USR;897
899;3DMX Consulting Limited;London;USR;899
901;-;-;USR;901
903;-;Edinburgh;USR;903
